deg	glk1_signal	glk2_signal	fpkm	distance
AT5G13630	1	5.79164	8.5336	88.8492	22
AT1G32200	1	15.1756	10.998	59.2987	19
AT3G11800	0	6.00906	5.63901	124.407	27
AT3G11780	0	5.98649	8.21885	238.228	221
AT3G26570	0	5.86343	9.24443	39.4357	1497
AT1G12900	1	6.64026	7.97631	39.166	244
AT4G38860	1	6.06072	6.5177	30.1385	85
AT5G18170	0	8.99731	5.97194	67.9734	274
AT2G21650	0	9.00315	7.21491	111.686	30
AT1G52290	0	44.084	41.5599	7587.03	23
AT1G18740	1	29.0317	33.6902	1220.57	57
AT1G12420	0	6.01823	7.58825	29.6226	1044
AT1G68670	0	8.30429	5.067	31.9475	1050
AT2G45850	0	5.77614	5.11214	48.9599	43
AT2G07050	1	7.05927	6.57641	157.982	711
AT1G48300	0	12.3045	5.70671	37.2193	124
AT2G36770	0	17.2593	12.9507	26.3782	99
AT5G56860	0	27.2436	21.8762	667.901	5
AT1G33610	0	9.43656	14.5603	120.045	27
AT1G75460	0	6.25117	8.39995	1164.96	12
AT5G38520	1	10.6531	7.56939	33.4696	243
AT5G19200	0	7.64292	9.14332	201.249	808
AT1G47980	0	7.56884	6.99649	93.4548	2
AT5G14690	0	43.2587	38.0739	834.008	30
AT1G64950	0	118.526	54.6533	100.573	997
AT3G54890	1	13.8693	8.73216	53.8996	160
AT5G22390	0	9.10301	5.84131	39.0758	324
AT2G39870	0	7.02703	5.54629	191.784	1071
AT4G20260	1	9.16027	6.25385	26.6542	958
AT5G24810	0	9.27328	7.51157	298.176	404
AT5G19380	0	40.7596	18.9911	1242.06	86
AT2G46150	0	10.5918	10.6553	71.4382	110
AT3G20362	0	8.47635	9.10324	937.292	19
AT3G20365	0	27.1514	38.2604	184.48	71
AT1G59740	0	12.5468	7.39511	42.3389	577
AT1G78250	0	31.3411	12.6527	205.959	226
AT1G16130	0	5.87575	9.13376	87.2187	278
AT3G20720	0	7.98523	15.344	28.1628	492
AT3G20710	0	22.3676	15.5481	28.2718	83
AT2G30530	0	8.65412	5.05558	31.7803	182
AT5G35970	0	6.01367	6.41044	80.2465	140
AT1G68890	0	12.617	8.9768	40.9852	480
AT1G07040	0	6.60166	6.02101	42.7318	449
AT2G38290	0	13.3125	9.621	39.745	211
AT3G51400	0	13.3125	9.621	45.4015	401
AT1G17220	0	6.89717	5.3484	146.433	575
AT3G06510	0	26.668	18.2331	39.08	430
AT5G63420	0	10.3455	5.64493	110.613	673
AT1G45163	0	22.6172	15.1966	36.7546	81
AT1G30360	0	12.0682	7.26382	28.1761	111
AT2G03590	0	9.8619	7.73414	30.3608	202
AT1G80970	0	7.79779	5.47141	61.3623	1006
AT1G15015	0	10.8099	7.92913	79.0576	897
AT1G15002	0	14.0426	9.38678	41.7435	538
AT5G40380	1	7.22062	7.34526	86.7412	153
AT1G49130	1	7.89263	5.43373	84.6879	104
AT4G25810	0	9.70196	13.4858	32.5782	909
AT3G25690	0	5.69423	6.95289	27.1693	919
AT1G26920	1	5.62889	5.69982	125.867	169
AT1G72610	0	71.5113	45.9937	421.114	143
AT5G10570	0	71.5113	45.9937	28.3651	692
AT1G70944	0	9.72014	6.93112	88.6338	541
AT5G24770	0	41.0262	36.7108	30.6816	91
AT2G45180	0	15.9184	7.78322	39.5866	0
AT2G46590	0	7.94668	5.21316	343.318	993
AT4G15236	0	6.52846	5.74327	55.7401	159
AT4G03400	0	18.4449	13.6133	58.7394	658
AT4G15230	0	32.4446	18.2229	27.4438	1038
AT3G02870	1	6.67666	5.29239	41.0959	851
AT1G02860	0	6.22106	9.148	50.0657	54
AT2G29970	0	16.4454	15.6339	108.407	94
AT2G22482	0	11.5779	12.8783	4451.1	76
AT1G04530	0	7.18783	8.56191	1689.23	133
AT1G06040	0	12.7755	18.9322	90.8577	187
AT4G08470	0	10.7319	11.1416	34.8984	649
AT4G23470	0	15.8951	8.44482	79.1817	175
AT2G37710	0	9.80843	5.43342	262.137	640
AT2G33390	0	27.8773	15.0631	66.6961	1105
AT3G46280	0	7.8781	7.80079	52.1147	908
AT3G18773	0	16.7878	14.0297	156.173	1382
AT2G23300	0	19.5484	12.6722	25.767	594
AT2G18560	0	10.3245	12.9665	57.1002	96
